"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Iceland"," 2008"," 25+ years","29.1 [16.1-43.6]","30.2 [13.3-52.1]","27.7 [11.1-47.7]","31.2 [17.3-46.6]","31.5 [13.8-54.2]","31.0 [12.3-52.6]"
"India"," 2008"," 25+ years","5.3 [3.5-7.6]","4.5 [2.6-7.1]","6.0 [3.2-9.9]","5.0 [3.3-7.1]","4.4 [2.6-6.8]","5.6 [3.0-9.3]"
"Indonesia"," 2008"," 25+ years","7.7 [3.6-14.1]","6.4 [2.4-13.3]","8.9 [2.9-19.9]","7.4 [3.6-13.3]","6.3 [2.4-12.9]","8.5 [2.8-18.8]"
"Iran (Islamic Republic of)"," 2008"," 25+ years","15.3 [10.9-20.7]","12.2 [8.1-17.4]","18.2 [10.8-27.4]","13.8 [10.0-18.5]","11.6 [7.7-16.5]","16.1 [9.8-24.1]"
"Iraq"," 2008"," 25+ years","10.5 [6.5-15.8]","9.8 [5.3-16.2]","11.0 [5.1-19.8]","9.4 [6.0-14.0]","9.2 [5.1-15.0]","9.7 [4.7-16.9]"
"Ireland"," 2008"," 25+ years","21.7 [11.3-34.9]","22.9 [9.0-43.1]","20.4 [7.3-38.9]","22.2 [11.5-35.7]","23.0 [9.1-43.3]","21.5 [7.5-40.7]"
"Israel"," 2008"," 25+ years","14.5 [7.9-23.7]","13.3 [5.7-25.4]","15.5 [6.0-30.2]","14.7 [7.9-23.9]","13.2 [5.6-25.2]","16.1 [6.2-31.3]"
"Italy"," 2008"," 25+ years","20.1 [14.5-26.8]","19.0 [12.1-28.0]","20.8 [12.6-31.2]","22.4 [15.9-30.0]","19.9 [12.6-29.3]","24.7 [14.8-37.0]"
"Jamaica"," 2008"," 25+ years","5.9 [3.8-8.9]","4.7 [2.7-7.5]","7.1 [3.7-12.1]","5.9 [3.8-8.7]","4.6 [2.7-7.4]","7.0 [3.7-11.9]"
"Japan"," 2008"," 25+ years","15.8 [12.0-20.1]","15.7 [11.4-20.8]","15.8 [10.4-22.4]","16.4 [12.2-21.0]","15.3 [11.0-20.4]","17.4 [11.2-25.0]"
"Jordan"," 2008"," 25+ years","12.2 [8.2-17.1]","11.4 [6.7-17.5]","12.9 [7.0-21.0]","10.9 [7.5-15.2]","10.6 [6.4-16.1]","11.2 [6.3-17.9]"
"Kazakhstan"," 2008"," 25+ years","12.3 [5.2-23.2]","11.0 [3.5-25.0]","12.9 [3.7-30.3]","12.1 [5.2-22.8]","10.9 [3.4-24.5]","13.1 [3.7-30.9]"
"Kenya"," 2008"," 25+ years","5.3 [2.2-10.6]","4.7 [1.4-11.3]","5.7 [1.6-14.6]","4.7 [2.0-9.0]","4.4 [1.4-10.2]","5.0 [1.5-12.1]"
"Kiribati"," 2008"," 25+ years","7.6 [4.0-13.0]","6.2 [2.9-11.6]","8.9 [3.4-19.0]","7.2 [3.9-12.3]","6.2 [2.9-11.5]","8.2 [3.3-16.9]"
"Kuwait"," 2008"," 25+ years","16.0 [10.4-22.7]","15.5 [8.9-24.2]","16.5 [8.2-27.4]","14.4 [9.6-20.2]","15.0 [8.7-23.1]","13.3 [7.1-21.5]"
"Kyrgyzstan"," 2008"," 25+ years","6.3 [2.5-12.9]","5.3 [1.5-13.3]","7.0 [1.8-18.0]","6.0 [2.5-12.0]","5.1 [1.5-12.8]","6.7 [1.7-16.9]"
"Lao People's Democratic Republic"," 2008"," 25+ years","6.7 [2.9-13.4]","5.4 [1.7-12.6]","7.8 [2.1-18.9]","6.0 [2.7-11.8]","5.1 [1.6-11.7]","6.9 [2.0-16.1]"
"Latvia"," 2008"," 25+ years","18.0 [7.9-32.9]","16.6 [5.1-36.3]","18.6 [5.1-40.3]","20.0 [8.4-36.9]","17.1 [5.2-37.6]","22.2 [5.8-47.9]"
"Lebanon"," 2008"," 25+ years","11.5 [5.2-21.0]","9.4 [3.1-21.9]","13.3 [4.2-29.4]","11.2 [5.1-20.4]","9.2 [3.0-21.5]","12.9 [4.2-28.4]"
"Lesotho"," 2008"," 25+ years","4.4 [1.6-10.3]","3.6 [0.9-9.5]","5.0 [1.2-14.2]","4.1 [1.5-9.6]","3.3 [0.9-8.6]","4.8 [1.1-13.3]"
"Liberia"," 2008"," 25+ years","2.7 [1.1-5.7]","2.1 [0.6-5.4]","3.3 [0.9-8.3]","2.5 [1.1-4.9]","2.0 [0.6-5.1]","3.0 [0.9-7.2]"
"Libya"," 2008"," 25+ years","7.4 [5.0-10.3]","6.7 [4.2-10.2]","8.1 [4.4-13.3]","6.6 [4.6-9.1]","6.3 [3.9-9.3]","7.0 [4.0-11.2]"
"Lithuania"," 2008"," 25+ years","17.0 [7.1-31.3]","16.1 [4.9-34.6]","17.2 [4.3-38.4]","18.3 [7.5-34.2]","16.5 [4.9-35.6]","19.9 [4.6-44.8]"
"Luxembourg"," 2008"," 25+ years","25.6 [14.0-39.4]","26.5 [11.1-47.2]","24.3 [9.4-44.5]","27.5 [15.0-42.3]","27.7 [11.6-49.3]","27.3 [10.2-49.6]"
"Madagascar"," 2008"," 25+ years","4.6 [2.0-9.3]","4.1 [1.2-10.0]","5.1 [1.5-12.8]","4.3 [1.9-8.3]","3.9 [1.2-9.4]","4.6 [1.4-11.2]"
"Malawi"," 2008"," 25+ years","4.2 [2.8-6.2]","3.7 [2.2-6.0]","4.7 [2.5-8.0]","4.0 [2.7-5.8]","3.6 [2.2-5.6]","4.4 [2.5-7.4]"
"Malaysia"," 2008"," 25+ years","15.4 [7.3-26.7]","13.3 [4.4-28.9]","17.4 [5.6-35.5]","14.5 [7.0-25.3]","13.0 [4.4-28.0]","16.1 [5.2-32.9]"
"Maldives"," 2008"," 25+ years","10.6 [4.4-20.3]","8.2 [2.2-19.8]","13.1 [3.8-30.6]","9.4 [4.1-17.7]","7.6 [2.1-18.4]","11.3 [3.4-25.8]"
