"","","","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Montenegro"," 2008"," 25+ years","48.3 [30.3-65.9]","48.4 [24.5-72.0]","47.9 [22.1-71.9]","49.9 [31.2-68.0]","48.9 [24.5-72.9]","50.8 [23.2-75.2]"
"Morocco"," 2008"," 25+ years","37.2 [23.9-51.8]","35.3 [18.6-54.1]","39.0 [18.6-61.2]","35.7 [23.0-49.9]","34.4 [18.2-52.9]","37.0 [17.8-58.3]"
"Mozambique"," 2008"," 25+ years","26.0 [16.7-36.8]","26.1 [15.2-39.7]","25.9 [12.6-43.7]","25.0 [16.4-35.1]","25.2 [14.8-38.2]","24.9 [12.5-41.5]"
"Myanmar"," 2008"," 25+ years","30.4 [16.5-47.2]","27.6 [11.6-50.7]","32.8 [12.7-58.1]","29.5 [16.2-45.9]","27.2 [11.6-50.1]","31.6 [12.3-56.3]"
"Namibia"," 2008"," 25+ years","33.1 [17.2-51.8]","31.1 [11.2-57.5]","34.5 [12.1-62.2]","31.4 [16.5-49.0]","30.0 [11.1-55.3]","32.6 [11.8-59.2]"
"Nauru"," 2008"," 25+ years","46.2 [33.0-59.2]","41.2 [25.9-57.5]","50.9 [30.3-70.4]","44.7 [32.0-57.5]","41.2 [26.0-57.2]","48.1 [28.8-67.2]"
"Nepal"," 2008"," 25+ years","23.2 [11.8-38.1]","22.1 [8.4-42.5]","24.1 [8.2-47.9]","22.4 [11.6-36.5]","21.7 [8.3-41.5]","23.0 [8.0-45.6]"
"Netherlands"," 2008"," 25+ years","60.5 [44.6-74.6]","62.5 [40.3-81.2]","58.2 [34.2-79.3]","63.2 [46.8-77.3]","64.1 [41.4-82.6]","62.3 [37.5-82.7]"
"New Zealand"," 2008"," 25+ years","56.2 [38.1-72.4]","56.8 [32.1-78.6]","55.4 [27.9-78.6]","57.7 [39.0-74.1]","57.5 [32.3-79.4]","57.9 [29.3-80.9]"
"Nicaragua"," 2008"," 25+ years","30.0 [16.3-46.7]","27.0 [11.1-49.5]","32.9 [12.3-57.5]","28.6 [15.7-44.4]","26.3 [11.0-48.1]","30.7 [11.8-54.2]"
"Niger"," 2008"," 25+ years","15.2 [7.2-27.5]","14.2 [5.0-29.8]","16.5 [5.3-36.2]","14.8 [7.1-26.6]","14.1 [5.0-29.4]","15.6 [5.2-33.8]"
